81, 'http://v.youku.com/v_show/id_XNzMzNjY3MTI0.html', 'game.youku.com', '英雄联盟', 'TOP5第84期 蓝BUFF加入德莱文联盟 借机黑下提莫 ', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
82, 'http://v.youku.com/v_show/id_XNzMzNDgzMTY4.html', 'game.youku.com', '英雄联盟', '超神飞机 最高爆发的ADC', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
83, 'http://v.youku.com/v_show/id_XNzM0MDE0OTI0.html', 'game.youku.com', '英雄联盟', 'LOL螳螂打野第一视角关键细节', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
84, 'http://v.youku.com/v_show/id_XNzM0MTE1ODM2.html', 'game.youku.com', '英雄联盟', '审判天使凯尔上单，游走流玩法，带起全场节奏', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
85, 'http://v.youku.com/v_show/id_XNzMyNDQ4NDk2.html', 'game.youku.com', '英雄联盟', '城管模式来一杀一来二除双！蛮王视角', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
86, 'http://v.youku.com/v_show/id_XNzMyNzM3MDEy.html', 'game.youku.com', '英雄联盟', '&quot;利刃华尔兹”——英雄讲解之无双剑姬', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
87, 'http://v.youku.com/v_show/id_XNzMzNjIyNDM2.html', 'game.youku.com', '英雄联盟', '比赛最强中单发条魔灵疯狂屠杀秀!', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
88, 'http://v.youku.com/v_show/id_XNzMyNzY2MzE2.html', 'game.youku.com', '英雄联盟', '国服第一恶魔小丑', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
89, 'http://game.youku.com/index/lol/_page93117_2.html', 'game.youku.com', '英雄联盟', '', '', '', 'list', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'done');
90, 'http://game.youku.com/index/lol/_page93117_3.html', 'game.youku.com', '英雄联盟', '', '', '', 'list', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'done');
